"Cloud Computing: de slimme & groene technologie voor uw bedrijf";"2011-12-19";;"Industriezone Erpe-Mere";"Erpe-Mere";"Belgium";;"Unizo lunchsessie Cloud";"http://www.unizo.be/erpe-mere/viewobj.jsp?id=4800991"
"The Internet is maturing, web technology is adapting";"2012-03-15";;"ULB, Solbosch campus";"Brussel";"Belgium";"http://www.ulb.ac.be/campus/solbosch/plan-U.html";"BetaGroup #32";"http://betagroup32.eventbrite.com/"
"Develop & deploy using hybrid cloud strategies";"2012-02-24";"http://www.slideshare.net/combell/hybrid-cloud-phpuk2012";"Business Design Centre";"London";"United Kingdom";"http://www.businessdesigncentre.co.uk/";"PHP UK Conference";"http://phpconference.co.uk"
"Develop & deploy using hybrid cloud strategies";"2012-03-01";"http://www.slideshare.net/combell/develop-and-deploy-using-hybrid-cloud-strategies-confoo2012";"Hilton Montreal Bonaventure";"Montreal";"Canada";"http://www1.hilton.com/en_US/hi/hotel/YULBHHF-Hilton-Montreal-Bonaventure-Quebec/index.do";"Confoo";"http://confoo.ca"
"PHP Through The Eyes Of A Hoster";"2012-03-02";"http://www.slideshare.net/combell/php-through-the-eyes-of-a-hoster-confoo";"Hilton Montreal Bonaventure";"Montreal";"Canada";"http://www1.hilton.com/en_US/hi/hotel/YULBHHF-Hilton-Montreal-Bonaventure-Quebec/index.do";"Confoo";"http://confoo.ca"
"Develop & deploy using hybrid cloud strategies";"2012-04-18";;"Concordia Design";"Poznan";"Poland";"http://www.concordiadesign.pl/english";"4Developers";"http://4developers.org.pl/en/"
"Develop & deploy using hybrid cloud strategies";"2012-04-14";;"The Hub";"Edinburgh";"United Kingdom";"http://www.thehub-edinburgh.com/";"Whisky Web conference";"http://whiskyweb.co.uk"
"Scalability issues: cure first, prevent later";"2012-06-08";;"RAI";"Amsterdam";"The Netherlands";"http://www.rai.nl";"Dutch PHP Conference";"http://phpconference.nl"
"Cloud according to Combell";"2012-03-06";;"Combell";"Gent";"Belgium";"http://www.combell.com";"Online Desktop Event";"http://www.combell.com/nl/academy/2012-03-06-verhuis-uw-kantoor-naar-de-cloud-met-online-desktop"
"Keeping The Cloud In Check";"2012-03-13";;"Combell";"Gent";"Belgium";"http://www.combell.com";"Cloud Computing Conference";"http://www.combell.com/nl/academy/2012-03-13-cloud-computing-conference"
"Scalability issues: cure first, prevent later";"2012-04-18";;"Concordia Design";"Poznan";"Poland";"http://www.concordiadesign.pl/english";"4Developers";"http://4developers.org.pl/en"
"CLI, the other SAPI";"2012-05-18";;"San Marco Hotel";"Verona";"Italy";"http://www.sanmarco.vr.it/";"PHPDay";"http://2012.phpday.it/"
"10 doe-het-zelf tips om aan e-commerce te doen";"2012-03-27";;"Combell";"Gent";"Belgium";"http://www.combell.com";"E-commerce dag voor specialisten";"http://www.combell.com/nl/academy/2012-03-27-e-commercedag-voor-developers"
